   edgecnt,totalfence,    keycnt,       pts,     polys,       gen,      cost,  fencecnt
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         3
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         4
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         3
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         3
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         2
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
      8391,      8682,      5639,        56,        47,      9522,   7245.69,         1
